config/bagging_fraction,config/bagging_freq,config/boost_from_average,config/boosting_type,config/class_weight,config/colsample_bytree,config/feature_fraction,config/iterations,config/learning_rate,config/max_depth,config/metric,config/min_child_samples,config/min_data_in_leaf,config/num_leaves,config/num_threads,config/objective,config/reg_alpha,config/reg_lambda,config/seed,config/subsample_for_bin,config/tree_learner,config/use_missing,config/verbosity,mean_loss,time_total_s,training_iteration,trial_id
{'gbdt': 0.9694843860074633},{'gbdt': 16},false,"{'boosting_type': 'gbdt', 'subsample': 0.8296047667009703}",,0.9726650860295277,0.3054614245079934,100,0.06600525991942875,-1,root_mean_squared_error,88,5,146,1,regression,0.9824170551244782,0.720946984631907,99999,10,serial,True,1,0.04265940503211254,145.91416430473328,1,bf64ba1c
{'gbdt': 0.991181348398165},{'gbdt': 24},false,"{'boosting_type': 'gbdt', 'subsample': 0.5630876178847861}",,0.9771393534549819,0.1318162285623976,100,0.021393690539989338,-1,root_mean_squared_error,52,13,106,1,regression,0.2264810368728577,0.8930983098201164,99999,1,serial,True,1,0.016527646520811297,138.90868043899536,1,6a73e536
{'gbdt': 0.9683009673517436},{'gbdt': 2},false,"{'boosting_type': 'gbdt', 'subsample': 0.6864656645114743}",,0.9800685786652257,0.12216737484760498,100,0.04709606371252243,-1,root_mean_squared_error,33,8,79,1,regression,0.19663338079709164,0.8901599185111754,99999,9,serial,True,1,0.040165679777830816,194.84667825698853,1,e4a8d9ac
{'gbdt': 0.9525582131401235},{'gbdt': 13},false,"{'boosting_type': 'gbdt', 'subsample': 0.5094608155184299}",balanced,0.971959032842154,0.3946143070899967,100,0.005802172609207584,-1,root_mean_squared_error,8,13,54,1,regression,0.47407137433368324,0.5176978102598725,99999,5,serial,True,1,0.03452260775251625,235.00323343276975,1,b3fce600
{'gbdt': 0.9581723480868474},{'gbdt': 2},false,"{'boosting_type': 'gbdt', 'subsample': 0.7087153440185534}",balanced,0.6085610817849205,0.33919089652676,100,0.008941690733798309,-1,root_mean_squared_error,35,5,48,1,regression,0.42566731744809,0.3684921911594816,99999,14,serial,True,1,0.038628460500239895,212.04813361167908,1,1ff6515e
{'gbdt': 0.9677370070032394},{'gbdt': 21},false,"{'boosting_type': 'gbdt', 'subsample': 0.7647005768221756}",balanced,0.6069555482989065,0.6256822847590287,100,0.04516305020455082,-1,root_mean_squared_error,34,6,52,1,regression,0.5692012223366792,0.9983194150161023,99999,10,serial,True,1,0.048419592400574606,146.8174870014191,1,43b0db42
{'gbdt': 0.9916080432579591},{'gbdt': 8},false,{'boosting_type': 'goss'},balanced,0.9676520174743134,0.13086048956203886,100,0.007512392905373328,-1,root_mean_squared_error,58,11,91,1,regression,0.03353923144485038,0.9337558473075224,99999,7,serial,True,1,0.047276756085451,212.4445037841797,1,67bf8df6
{'gbdt': 0.9711134871050725},{'gbdt': 4},false,"{'boosting_type': 'gbdt', 'subsample': 0.7034721261850021}",,0.8430824819781985,0.7213751982942,100,0.03294722213836389,-1,root_mean_squared_error,84,15,143,1,regression,0.7843106087295528,0.02873920902204613,99999,7,serial,True,1,0.05280081453887158,157.7198255062103,1,4fa967e8
{'gbdt': 0.978111039351972},{'gbdt': 19},false,"{'boosting_type': 'gbdt', 'subsample': 0.7171071104229378}",,0.6574469424019458,0.0509435816610565,100,0.009668868601514214,-1,root_mean_squared_error,55,8,36,1,regression,0.5100870001553459,0.43592351425952214,99999,15,serial,True,1,0.03698761714032938,180.73150539398196,1,56d8f5ea
{'gbdt': 0.9994447927113551},{'gbdt': 22},false,"{'boosting_type': 'gbdt', 'subsample': 0.7495822964885294}",balanced,0.9010117442788619,0.0903640929034873,100,0.007302884825779196,-1,root_mean_squared_error,96,17,87,1,regression,0.6984733116266648,0.6185523806036599,99999,15,serial,True,1,0.035620590584585686,229.91408848762512,1,79fdf052
